Keyword,Search Volume (US),CPC (US),Categories,Commercial Potential,Filtering
rooms to go,1000000,$1.32,Home_Furnishings,1320000,PASSED
discount tire,3350000,$0.36,Vehicles_&_Transportation,1206000,PASSED
sleepnumber bed,201000,$3.25,Home_Furnishings,653250,PASSED
kentucky basketball,823000,$0.55,Sports_&_Recreation,452650.00000000006,PASSED
farm and fleet,450000,$1.00,Business,450000,PASSED
pbs kids games,301000,$1.10,Arts_&_Entertainment,331100,PASSED
one tree hill tv series,301000,$0.80,Arts_&_Entertainment,240800,PASSED
automotive glass,74000,$2.99,Vehicles_&_Transportation,221260.00000000003,PASSED
auto glass replacement,74000,$2.87,Vehicles_&_Transportation,212380,PASSED
bathing suit swimwear,301000,$0.69,Clothing_&_Shoes,207689.99999999997,PASSED
swimsuits bathing suits,301000,$0.69,Clothing_&_Shoes,207689.99999999997,PASSED
cargo pants pants,368000,$0.51,Clothing_&_Shoes,187680,PASSED
estate sales,246000,$0.76,Real_Estate,186960,PASSED
car detailing,135000,$1.31,Home_Improvement,176850,PASSED
the atlantic magazine,33100,$4.79,Arts_&_Entertainment,158549,PASSED
laundry detergent,74000,$2.10,Home_&_Housewares,155400,PASSED
99 cent only store,673000,$0.23,Shopping,154790,PASSED
murphy beds wall beds,301000,$0.50,Home_Furnishings,150500,PASSED
perfume & fragrances,201000,$0.66,Beauty_&_Fragrance,132660,PASSED
miniature goldendoodle,246000,$0.52,Animals,127920,PASSED
miniature goldendoodles,246000,$0.52,Pets,127920,PASSED
harborfreight tool,1500000,$0.08,Tools_&_Hardware,120000,PASSED
six flags tickets,74000,$1.57,Travel,116180,PASSED
above ground pool,246000,$0.46,Home_Improvement,113160,PASSED
utility vehicles,90500,$1.19,Vehicles_&_Transportation,107695,PASSED
spanish dictionary,301000,$0.35,Reference,105350,PASSED
jbl speakers speakers,301000,$0.33,Electronics,99330,PASSED
german shepherd,550000,$0.18,Animals,99000,PASSED
car batteries,165000,$0.60,Vehicles_&_Transportation,99000,PASSED
appliance parts near me,90500,$1.07,Home_Improvement,96835,PASSED
golf carts for sale,135000,$0.71,Vehicles_&_Transportation,95850,PASSED
stump grinder,74000,$1.25,Home_Improvement,92500,PASSED
tv guide for tonight,18100,$5.00,Arts_&_Entertainment,90500,PASSED
napa auto parts,1000000,$0.09,Vehicles_&_Transportation,90000,PASSED
melaleuca wellness,201000,$0.44,Health_&_Wellness,88440,PASSED
jigsaw puzzle puzzles,201000,$0.41,Games_&_Puzzles,82410,PASSED
astro physics,60500,$1.35,Science,81675,PASSED
discount mugs,18100,$4.51,Kitchen_&_Housewares,81631,PASSED
puzzles puzzles puzzles,246000,$0.33,Games_&_Puzzles,81180,PASSED
famous artist,40500,$2.00,Arts_&_Entertainment,81000,PASSED
air compressor compressor,201000,$0.40,Tools_&_Hardware,80400,PASSED
scrap metal,74000,$1.06,Tools_&_Hardware,78440,PASSED
dogs cocker spaniels,301000,$0.26,Animals,78260,PASSED
st augustine grass,60500,$1.26,Lawn_&_Garden,76230,PASSED
shoes womens shoes,165000,$0.45,Clothing_&_Shoes,74250,PASSED
womens shoes,165000,$0.45,Clothing_&_Shoes,74250,PASSED
bedroom furniture,90500,$0.81,Home_Furnishings,73305,PASSED
map of united states,550000,$0.13,Reference,71500,PASSED
atf transmission fluid,74000,$0.96,Vehicles_&_Transportation,71040,PASSED
italian ice,74000,$0.96,Food_&_Drinks,71040,PASSED
manufactured home,165000,$0.41,Real_Estate,67650,PASSED
mobile homes for sale,246000,$0.27,Real_Estate,66420,PASSED
deviled egg recipes,368000,$0.18,Food_&_Drinks,66240,PASSED
